genre,text,clique_id,v,e,index,n_sentences
berlitz,data/oanc_xml/berlitz_HistoryHongKong-hepple_clean.xml,6,0.2,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryHongKong-hepple_clean.xml,7,0.16666666666666666,0.0037735849056603774,global,10
berlitz,data/oanc_xml/berlitz_HistoryHongKong-hepple_clean.xml,8,0.2,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryHongKong-hepple_clean.xml,9,0.15789473684210525,8.928571428571428e-4,global,10
berlitz,data/oanc_xml/berlitz_HistoryHongKong-hepple_clean.xml,10,0.2222222222222222,0.0025210084033613447,global,10
berlitz,data/oanc_xml/berlitz_HistoryIbiza-hepple_clean.xml,1,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryIbiza-hepple_clean.xml,2,0.04878048780487805,0.002136752136752137,global,10
berlitz,data/oanc_xml/berlitz_HistoryIbiza-hepple_clean.xml,3,0.125,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryIbiza-hepple_clean.xml,4,0.0625,0.004519774011299435,global,10
berlitz,data/oanc_xml/berlitz_HistoryIbiza-hepple_clean.xml,5,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryIbiza-hepple_clean.xml,6,0.21052631578947367,0.003703703703703704,global,10
berlitz,data/oanc_xml/berlitz_HistoryIbiza-hepple_clean.xml,7,0.08333333333333333,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryIbiza-hepple_clean.xml,8,0.1,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryIbiza-hepple_clean.xml,9,0.4,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryIbiza-hepple_clean.xml,10,0.6,0.0022522522522522522,global,10
berlitz,data/oanc_xml/berlitz_HistoryIndia-hepple_clean.xml,1,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryIndia-hepple_clean.xml,2,0.15384615384615385,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryIndia-hepple_clean.xml,3,0.07142857142857142,0.004807692307692308,global,10
berlitz,data/oanc_xml/berlitz_HistoryIndia-hepple_clean.xml,4,0.2222222222222222,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryIndia-hepple_clean.xml,5,0,0.002162162162162162,global,10
berlitz,data/oanc_xml/berlitz_HistoryIndia-hepple_clean.xml,6,0.05555555555555555,0.0019286403085824494,global,10
berlitz,data/oanc_xml/berlitz_HistoryIndia-hepple_clean.xml,7,0.4166666666666667,0.003105590062111801,global,10
