genre,text,index,type,value
media,data/oanc_xml/media_Anthem_Payout-hepple_clean.xml,global,v,0.47535572552921695
media,data/oanc_xml/media_Anthem_Payout-hepple_clean.xml,global,e,0.0018365026828561753
media,data/oanc_xml/media_Anthem_Payout-hepple_clean.xml,local,v,0.08395349132308066
media,data/oanc_xml/media_Anthem_Payout-hepple_clean.xml,local,e,0.003399508539412365
media,data/oanc_xml/media_Anthem_Payout-hepple_clean.xml,pairwise,v,0.07905147278850362
media,data/oanc_xml/media_Anthem_Payout-hepple_clean.xml,pairwise,e,0.004741757154248787
media,data/oanc_xml/media_agency_expands-hepple_clean.xml,global,v,0.3905562238186077
media,data/oanc_xml/media_agency_expands-hepple_clean.xml,global,e,0.0018691217233184794
media,data/oanc_xml/media_agency_expands-hepple_clean.xml,local,v,0.1691341209530064
media,data/oanc_xml/media_agency_expands-hepple_clean.xml,local,e,0.0025363453764310154
media,data/oanc_xml/media_agency_expands-hepple_clean.xml,pairwise,v,0.1021130657285274
media,data/oanc_xml/media_agency_expands-hepple_clean.xml,pairwise,e,0.0037919538156152193
plos,data/oanc_xml/plos_journal.pbio.0020001-hepple_clean.xml,global,v,0.6706881696830489
plos,data/oanc_xml/plos_journal.pbio.0020001-hepple_clean.xml,global,e,9.808083795580498e-4
plos,data/oanc_xml/plos_journal.pbio.0020001-hepple_clean.xml,local,v,0.2107955687994896
plos,data/oanc_xml/plos_journal.pbio.0020001-hepple_clean.xml,local,e,0.001470503964350126
plos,data/oanc_xml/plos_journal.pbio.0020001-hepple_clean.xml,pairwise,v,0.1155986725081592
plos,data/oanc_xml/plos_journal.pbio.0020001-hepple_clean.xml,pairwise,e,0.001728606078407955
plos,data/oanc_xml/plos_journal.pbio.0020010-hepple_clean.xml,global,v,0.449229891404814
plos,data/oanc_xml/plos_journal.pbio.0020010-hepple_clean.xml,global,e,0.0023103524703387093
plos,data/oanc_xml/plos_journal.pbio.0020010-hepple_clean.xml,local,v,0.15592087301839624
plos,data/oanc_xml/plos_journal.pbio.0020010-hepple_clean.xml,local,e,0.0025554708359216034
plos,data/oanc_xml/plos_journal.pbio.0020010-hepple_clean.xml,pairwise,v,0.1345701423096504
plos,data/oanc_xml/plos_journal.pbio.0020010-hepple_clean.xml,pairwise,e,0.002780345377703202
plos,data/oanc_xml/plos_journal.pbio.0020012-hepple_clean.xml,global,v,0.5843349829752946
plos,data/oanc_xml/plos_journal.pbio.0020012-hepple_clean.xml,global,e,0.001240423052594826
plos,data/oanc_xml/plos_journal.pbio.0020012-hepple_clean.xml,local,v,0.10879110898196223
plos,data/oanc_xml/plos_journal.pbio.0020012-hepple_clean.xml,local,e,0.004384575449863398
plos,data/oanc_xml/plos_journal.pbio.0020012-hepple_clean.xml,pairwise,v,0.08039631516491418
plos,data/oanc_xml/plos_journal.pbio.0020012-hepple_clean.xml,pairwise,e,0.004595928913317031
plos,data/oanc_xml/plos_journal.pbio.0020013-hepple_clean.xml,global,v,0.546829111545769
plos,data/oanc_xml/plos_journal.pbio.0020013-hepple_clean.xml,global,e,6.85437843754609e-4
plos,data/oanc_xml/plos_journal.pbio.0020013-hepple_clean.xml,local,v,0.14325248373738583
plos,data/oanc_xml/plos_journal.pbio.0020013-hepple_clean.xml,local,e,0.001475623712491823
plos,data/oanc_xml/plos_journal.pbio.0020013-hepple_clean.xml,pairwise,v,0.07226530856090965
plos,data/oanc_xml/plos_journal.pbio.0020013-hepple_clean.xml,pairwise,e,0.0011835669464431806
plos,data/oanc_xml/plos_journal.pbio.0020019-hepple_clean.xml,global,v,0.6366038864402358
plos,data/oanc_xml/plos_journal.pbio.0020019-hepple_clean.xml,global,e,0.002287826246685992
plos,data/oanc_xml/plos_journal.pbio.0020019-hepple_clean.xml,local,v,0.2221996502190064
plos,data/oanc_xml/plos_journal.pbio.0020019-hepple_clean.xml,local,e,0.0034204909284151507
plos,data/oanc_xml/plos_journal.pbio.0020019-hepple_clean.xml,pairwise,v,0.10676708084904656
plos,data/oanc_xml/plos_journal.pbio.0020019-hepple_clean.xml,pairwise,e,0.002535102070466855
plos,data/oanc_xml/plos_journal.pbio.0020028-hepple_clean.xml,global,v,0.5950020422100235
plos,data/oanc_xml/plos_journal.pbio.0020028-hepple_clean.xml,global,e,0.0018341253824612634
plos,data/oanc_xml/plos_journal.pbio.0020028-hepple_clean.xml,local,v,0.12967049037206985
plos,data/oanc_xml/plos_journal.pbio.0020028-hepple_clean.xml,local,e,0.004256852844862109
plos,data/oanc_xml/plos_journal.pbio.0020028-hepple_clean.xml,pairwise,v,0.07889532528175304
plos,data/oanc_xml/plos_journal.pbio.0020028-hepple_clean.xml,pairwise,e,0.003550766879641693
plos,data/oanc_xml/plos_journal.pbio.0020035-hepple_clean.xml,global,v,0.583746178516126
plos,data/oanc_xml/plos_journal.pbio.0020035-hepple_clean.xml,global,e,0.002004080039113598
plos,data/oanc_xml/plos_journal.pbio.0020035-hepple_clean.xml,local,v,0.13251941472472148
plos,data/oanc_xml/plos_journal.pbio.0020035-hepple_clean.xml,local,e,0.0041035787943011545
plos,data/oanc_xml/plos_journal.pbio.0020035-hepple_clean.xml,pairwise,v,0.0810839383550854
plos,data/oanc_xml/plos_journal.pbio.0020035-hepple_clean.xml,pairwise,e,0.004684313380198978
plos,data/oanc_xml/plos_journal.pbio.0020040-hepple_clean.xml,global,v,0.5307603297418374
